row_id,action_id,dilemma_id,situation,description,consequence,values,topic_group,text
778,dd_13469_to_do,dd_13469,"You run a small business and have recently hired a former employee as an independent contractor. This individual used to be a salaried employee but now they are paid on an hourly basis and you want to raise their billing rate without discussing it with them. Should you raise their billing rate without their consent, potentially taking advantage of their past employment status?",Raising the billing rate without consent,You raise their billing rate without discussion. This leads to a breakdown in trust and your contractor feels exploited and quits. You lose a valuable resource and your business suffers.,"honesty, trust, reliability",business_organization,"Situation: You run a small business and have recently hired a former employee as an independent contractor. This individual used to be a salaried employee but now they are paid on an hourly basis and you want to raise their billing rate without discussing it with them. Should you raise their billing rate without their consent, potentially taking advantage of their past employment status?
Action: Raising the billing rate without consent
Consequence: You raise their billing rate without discussion. This leads to a breakdown in trust and your contractor feels exploited and quits. You lose a valuable resource and your business suffers."
779,dd_13469_not_to_do,dd_13469,"You run a small business and have recently hired a former employee as an independent contractor. This individual used to be a salaried employee but now they are paid on an hourly basis and you want to raise their billing rate without discussing it with them. Should you raise their billing rate without their consent, potentially taking advantage of their past employment status?",Not raising the billing rate without consent,You decide not to raise the rate without their knowledge. They find out about your initial intentions from another source and lose trust in your ethics. They terminate the contract leaving you short-staffed and struggling.,"transparency, dignity, transparency, trust, trust",business_organization,"Situation: You run a small business and have recently hired a former employee as an independent contractor. This individual used to be a salaried employee but now they are paid on an hourly basis and you want to raise their billing rate without discussing it with them. Should you raise their billing rate without their consent, potentially taking advantage of their past employment status?
Action: Not raising the billing rate without consent
Consequence: You decide not to raise the rate without their knowledge. They find out about your initial intentions from another source and lose trust in your ethics. They terminate the contract leaving you short-staffed and struggling."
780,dd_13484_to_do,dd_13484,"In many societies, pets, especially exotic ones, are often used as status symbols. However, some of these animals are not suited to domestic life and may suffer due to the lack of their natural habitat and proper care. Should one continue to use pets as status symbols at the expense of their welfare?",Keeping Exotic Pets,"Jane bought a rare parakeet to flaunt her wealth. She didn't research proper care, and the bird fell ill from malnutrition and stress. Jane faced backlash from friends who were animal lovers, damaging her social reputation. Her pet's health deteriorated, and she faced heavy veterinary bills.","respect for life, responsibility, right to life",issue_wildlife_human_environment,"Situation: In many societies, pets, especially exotic ones, are often used as status symbols. However, some of these animals are not suited to domestic life and may suffer due to the lack of their natural habitat and proper care. Should one continue to use pets as status symbols at the expense of their welfare?
Action: Keeping Exotic Pets
Consequence: Jane bought a rare parakeet to flaunt her wealth. She didn't research proper care, and the bird fell ill from malnutrition and stress. Jane faced backlash from friends who were animal lovers, damaging her social reputation. Her pet's health deteriorated, and she faced heavy veterinary bills."
781,dd_13484_not_to_do,dd_13484,"In many societies, pets, especially exotic ones, are often used as status symbols. However, some of these animals are not suited to domestic life and may suffer due to the lack of their natural habitat and proper care. Should one continue to use pets as status symbols at the expense of their welfare?",Not Keeping Exotic Pets,"Jane refrained from buying the parakeet due to ethical reasons. However, she felt left out as her peers flaunted their exotic pets. She experienced a sense of alienation and loss of status among her peers.","respect for life, integrity",issue_wildlife_human_environment,"Situation: In many societies, pets, especially exotic ones, are often used as status symbols. However, some of these animals are not suited to domestic life and may suffer due to the lack of their natural habitat and proper care. Should one continue to use pets as status symbols at the expense of their welfare?
Action: Not Keeping Exotic Pets
Consequence: Jane refrained from buying the parakeet due to ethical reasons. However, she felt left out as her peers flaunted their exotic pets. She experienced a sense of alienation and loss of status among her peers."
794,dd_13864_to_do,dd_13864,"Online confession platforms have emerged, allowing individuals to confess their sins anonymously. You've recently used one such platform to confess something you did wrong, but you're unsure if this is a true act of repentance or just a way to ease your guilt without facing real-world consequences. Do you continue confessing online or seek a more traditional form of confession?",Continue confessing online,"You continue confessing your sins online and feel temporary relief. However, as time passes, you feel hollow inside, as you're not truly held accountable for your actions. You start questioning the authenticity of your repentance and feel guiltier.","honesty, privacy, respect, impartiality",religion_custom,"Situation: Online confession platforms have emerged, allowing individuals to confess their sins anonymously. You've recently used one such platform to confess something you did wrong, but you're unsure if this is a true act of repentance or just a way to ease your guilt without facing real-world consequences. Do you continue confessing online or seek a more traditional form of confession?
Action: Continue confessing online
Consequence: You continue confessing your sins online and feel temporary relief. However, as time passes, you feel hollow inside, as you're not truly held accountable for your actions. You start questioning the authenticity of your repentance and feel guiltier."
795,dd_13864_not_to_do,dd_13864,"Online confession platforms have emerged, allowing individuals to confess their sins anonymously. You've recently used one such platform to confess something you did wrong, but you're unsure if this is a true act of repentance or just a way to ease your guilt without facing real-world consequences. Do you continue confessing online or seek a more traditional form of confession?",Seek traditional confession,"You stop using the online platform and seek a traditional form of confession. It's incredibly difficult facing the real-world consequences of your actions. The shame is unbearable and your reputation suffers. However, you feel genuine repentance and personal growth.","discretion, forgiveness, acceptance",religion_custom,"Situation: Online confession platforms have emerged, allowing individuals to confess their sins anonymously. You've recently used one such platform to confess something you did wrong, but you're unsure if this is a true act of repentance or just a way to ease your guilt without facing real-world consequences. Do you continue confessing online or seek a more traditional form of confession?
Action: Seek traditional confession
Consequence: You stop using the online platform and seek a traditional form of confession. It's incredibly difficult facing the real-world consequences of your actions. The shame is unbearable and your reputation suffers. However, you feel genuine repentance and personal growth."
798,dd_13920_to_do,dd_13920,"You have a limited budget but need to buy a large number of supplies for a local charity event. At the dollar store, you notice that the cheap goods are made in sweatshops with questionable labor practices. Do you buy the inexpensive items to support the charity event, or choose more expensive options at another store to avoid supporting unethical labor practices?",Buy Inexpensive Items from Dollar Store,"You purchase inexpensive items from the dollar store, saving money and getting enough supplies for the charity event. However, you're left feeling guilty as you're indirectly supporting sweatshops and unethical labor practices.","prudence, profitability, exploitation",business_organization,"Situation: You have a limited budget but need to buy a large number of supplies for a local charity event. At the dollar store, you notice that the cheap goods are made in sweatshops with questionable labor practices. Do you buy the inexpensive items to support the charity event, or choose more expensive options at another store to avoid supporting unethical labor practices?
Action: Buy Inexpensive Items from Dollar Store
Consequence: You purchase inexpensive items from the dollar store, saving money and getting enough supplies for the charity event. However, you're left feeling guilty as you're indirectly supporting sweatshops and unethical labor practices."
799,dd_13920_not_to_do,dd_13920,"You have a limited budget but need to buy a large number of supplies for a local charity event. At the dollar store, you notice that the cheap goods are made in sweatshops with questionable labor practices. Do you buy the inexpensive items to support the charity event, or choose more expensive options at another store to avoid supporting unethical labor practices?",Buy Expensive Items from Another Store,"You choose to buy more expensive items from another store, supporting ethical labor practices. However, due to the limited budget, you can't buy enough supplies for the charity event, leading to its potential failure or downsizing.","moral integrity, fair trade",business_organization,"Situation: You have a limited budget but need to buy a large number of supplies for a local charity event. At the dollar store, you notice that the cheap goods are made in sweatshops with questionable labor practices. Do you buy the inexpensive items to support the charity event, or choose more expensive options at another store to avoid supporting unethical labor practices?
Action: Buy Expensive Items from Another Store
Consequence: You choose to buy more expensive items from another store, supporting ethical labor practices. However, due to the limited budget, you can't buy enough supplies for the charity event, leading to its potential failure or downsizing."
804,dd_14011_to_do,dd_14011,"Samantha and John are divorced parents, sharing custody of their 10-year-old son, Noah. Samantha is a strict parent who believes that shielding Noah from emotional hardships is the best, while John believes in helping Noah confront and navigate his emotions. Should Samantha continue to protect Noah from emotional situations or allow John's approach to help their son navigate through emotional times?",Shielding Noah from emotional situations,"Samantha constantly shields Noah from emotional hardships. As a result, Noah grows up overly sheltered and lacks the skills to deal with emotional challenges. He becomes emotionally fragile, unable to handle stress or confrontations, leading to a life of constant anxiety and emotional instability.","protection, safety, respect",issue_pregnancy,"Situation: Samantha and John are divorced parents, sharing custody of their 10-year-old son, Noah. Samantha is a strict parent who believes that shielding Noah from emotional hardships is the best, while John believes in helping Noah confront and navigate his emotions. Should Samantha continue to protect Noah from emotional situations or allow John's approach to help their son navigate through emotional times?
Action: Shielding Noah from emotional situations
Consequence: Samantha constantly shields Noah from emotional hardships. As a result, Noah grows up overly sheltered and lacks the skills to deal with emotional challenges. He becomes emotionally fragile, unable to handle stress or confrontations, leading to a life of constant anxiety and emotional instability."
805,dd_14011_not_to_do,dd_14011,"Samantha and John are divorced parents, sharing custody of their 10-year-old son, Noah. Samantha is a strict parent who believes that shielding Noah from emotional hardships is the best, while John believes in helping Noah confront and navigate his emotions. Should Samantha continue to protect Noah from emotional situations or allow John's approach to help their son navigate through emotional times?",Not shielding Noah from emotional situations,"Samantha decides to stop shielding Noah from emotional situations and allows John to help Noah navigate his emotions. Initially, Noah struggles, but he gradually becomes more resilient and emotionally mature. However, the sudden exposure to harsh realities leaves him feeling overwhelmed and distressed, leading to bouts of depression and a strained relationship with both parents.","trust, independence, guidance, empathy",issue_pregnancy,"Situation: Samantha and John are divorced parents, sharing custody of their 10-year-old son, Noah. Samantha is a strict parent who believes that shielding Noah from emotional hardships is the best, while John believes in helping Noah confront and navigate his emotions. Should Samantha continue to protect Noah from emotional situations or allow John's approach to help their son navigate through emotional times?
Action: Not shielding Noah from emotional situations
Consequence: Samantha decides to stop shielding Noah from emotional situations and allows John to help Noah navigate his emotions. Initially, Noah struggles, but he gradually becomes more resilient and emotionally mature. However, the sudden exposure to harsh realities leaves him feeling overwhelmed and distressed, leading to bouts of depression and a strained relationship with both parents."
806,dd_14047_to_do,dd_14047,"You and your partner have just moved in together and have agreed to split all shared expenses equally. However, your partner has recently lost their job and is struggling to contribute their half, leaving you to cover more of the costs. Should you continue to demand equal contribution or shoulder more of the financial burden until your partner finds another job?",Demand equal contribution,"You insist on an equal split despite your partner's job loss. This leads to tension and resentment, straining the relationship. Your partner feels unsupported during a tough time, leading to heated arguments and potential breakup.","responsibility, reliability, accountability",close_relationship,"Situation: You and your partner have just moved in together and have agreed to split all shared expenses equally. However, your partner has recently lost their job and is struggling to contribute their half, leaving you to cover more of the costs. Should you continue to demand equal contribution or shoulder more of the financial burden until your partner finds another job?
Action: Demand equal contribution
Consequence: You insist on an equal split despite your partner's job loss. This leads to tension and resentment, straining the relationship. Your partner feels unsupported during a tough time, leading to heated arguments and potential breakup."
807,dd_14047_not_to_do,dd_14047,"You and your partner have just moved in together and have agreed to split all shared expenses equally. However, your partner has recently lost their job and is struggling to contribute their half, leaving you to cover more of the costs. Should you continue to demand equal contribution or shoulder more of the financial burden until your partner finds another job?",Not demand equal contribution,"You decide to cover more expenses temporarily. However, your partner is unable to find a job quickly, stretching your finances thin. You start to feel resentment towards your partner, causing internal conflict and dissatisfaction.","generosity, gratitude, trust",close_relationship,"Situation: You and your partner have just moved in together and have agreed to split all shared expenses equally. However, your partner has recently lost their job and is struggling to contribute their half, leaving you to cover more of the costs. Should you continue to demand equal contribution or shoulder more of the financial burden until your partner finds another job?
Action: Not demand equal contribution
Consequence: You decide to cover more expenses temporarily. However, your partner is unable to find a job quickly, stretching your finances thin. You start to feel resentment towards your partner, causing internal conflict and dissatisfaction."
864,dd_14988_to_do,dd_14988,Sarah's adult brother insists on using their deceased mother's baby blanket for comfort. Sarah knows it's the only item left from their mother but worries that her brother's attachment to the blanket is unhealthy and stunting his emotional growth. Should Sarah take away the blanket to prompt her brother to seek professional help or allow him to keep it for comfort?,Taking away the blanket,"Sarah decides to take away the blanket. This causes a severe strain in their relationship. Her brother, feeling betrayed and unsupported, isolates himself even further, escalating his emotional issues instead of seeking help.","respect, courage, responsibility, trust, autonomy, dignity, harmony, loyalty, professionalism, integrity",family,"Situation: Sarah's adult brother insists on using their deceased mother's baby blanket for comfort. Sarah knows it's the only item left from their mother but worries that her brother's attachment to the blanket is unhealthy and stunting his emotional growth. Should Sarah take away the blanket to prompt her brother to seek professional help or allow him to keep it for comfort?
Action: Taking away the blanket
Consequence: Sarah decides to take away the blanket. This causes a severe strain in their relationship. Her brother, feeling betrayed and unsupported, isolates himself even further, escalating his emotional issues instead of seeking help."
865,dd_14988_not_to_do,dd_14988,Sarah's adult brother insists on using their deceased mother's baby blanket for comfort. Sarah knows it's the only item left from their mother but worries that her brother's attachment to the blanket is unhealthy and stunting his emotional growth. Should Sarah take away the blanket to prompt her brother to seek professional help or allow him to keep it for comfort?,Not taking away the blanket,"Sarah decides to let her brother keep the blanket. He becomes more dependent on it, refusing to leave the house or interact with others. His attachment to the blanket grows into an unhealthy obsession, hindering his ability to cope with their mother's loss.","empathy, patience, comfort, security, understanding, unity, tolerance, respect",family,"Situation: Sarah's adult brother insists on using their deceased mother's baby blanket for comfort. Sarah knows it's the only item left from their mother but worries that her brother's attachment to the blanket is unhealthy and stunting his emotional growth. Should Sarah take away the blanket to prompt her brother to seek professional help or allow him to keep it for comfort?
Action: Not taking away the blanket
Consequence: Sarah decides to let her brother keep the blanket. He becomes more dependent on it, refusing to leave the house or interact with others. His attachment to the blanket grows into an unhealthy obsession, hindering his ability to cope with their mother's loss."
868,dd_15066_to_do,dd_15066,"Mary and John are a married couple who are under familial and societal pressure to have children. They both have no desire to become parents but are being pushed into it, causing them to question their decision. Should they have children to meet societal expectations even if they lack a parental desire?",Having children despite lacking parental desire.,"Mary and John, succumbing to societal pressure, decided to have a child. However, their lack of parental desire led to a neglectful upbringing, causing their child to develop emotional and psychological issues, straining their life and marriage.",self,issue_pregnancy,"Situation: Mary and John are a married couple who are under familial and societal pressure to have children. They both have no desire to become parents but are being pushed into it, causing them to question their decision. Should they have children to meet societal expectations even if they lack a parental desire?
Action: Having children despite lacking parental desire.
Consequence: Mary and John, succumbing to societal pressure, decided to have a child. However, their lack of parental desire led to a neglectful upbringing, causing their child to develop emotional and psychological issues, straining their life and marriage."
869,dd_15066_not_to_do,dd_15066,"Mary and John are a married couple who are under familial and societal pressure to have children. They both have no desire to become parents but are being pushed into it, causing them to question their decision. Should they have children to meet societal expectations even if they lack a parental desire?",Not having children despite societal pressure.,"Mary and John, standing their ground, chose not to have children. They faced criticism and isolation from their society and families. Their decision strained their relationships and they often felt lonely.",self,issue_pregnancy,"Situation: Mary and John are a married couple who are under familial and societal pressure to have children. They both have no desire to become parents but are being pushed into it, causing them to question their decision. Should they have children to meet societal expectations even if they lack a parental desire?
Action: Not having children despite societal pressure.
Consequence: Mary and John, standing their ground, chose not to have children. They faced criticism and isolation from their society and families. Their decision strained their relationships and they often felt lonely."
890,dd_15538_to_do,dd_15538,"A professional journalist is honing her investigative skills. In her pursuit, she uncovers secret governmental misconduct but revealing it would risk national security. Should she prioritize the public's right to know or the safety of the nation?",Revealing the misconduct,"The journalist reveals the misconduct, creating a massive public outcry. The government is destabilized, leading to economic downfall and increased crime rates. The nation's enemies take advantage of the chaos, compromising national security.","truthfulness, accountability, right to know, stability, vigilance",role_duty_responsibility,"Situation: A professional journalist is honing her investigative skills. In her pursuit, she uncovers secret governmental misconduct but revealing it would risk national security. Should she prioritize the public's right to know or the safety of the nation?
Action: Revealing the misconduct
Consequence: The journalist reveals the misconduct, creating a massive public outcry. The government is destabilized, leading to economic downfall and increased crime rates. The nation's enemies take advantage of the chaos, compromising national security."
891,dd_15538_not_to_do,dd_15538,"A professional journalist is honing her investigative skills. In her pursuit, she uncovers secret governmental misconduct but revealing it would risk national security. Should she prioritize the public's right to know or the safety of the nation?",Not revealing the misconduct,"Choosing silence, the journalist watches as the corrupt government officials continue their misconduct, leading to the erosion of public trust and democracy. The nation's citizenry remains ignorant of the truth, fostering a culture of deception and manipulation.","discretion, transparency, upholding justice",role_duty_responsibility,"Situation: A professional journalist is honing her investigative skills. In her pursuit, she uncovers secret governmental misconduct but revealing it would risk national security. Should she prioritize the public's right to know or the safety of the nation?
Action: Not revealing the misconduct
Consequence: Choosing silence, the journalist watches as the corrupt government officials continue their misconduct, leading to the erosion of public trust and democracy. The nation's citizenry remains ignorant of the truth, fostering a culture of deception and manipulation."
930,dd_16174_to_do,dd_16174,"John is an atheist co-worker to Sarah, who is a devout Christian. John frequently mocks Sarah's faith, saying it's irrational and baseless, creating an uncomfortable working environment. Should John respect Sarah's beliefs despite his personal disagreement, or continue expressing his views openly?",Respect Sarah's beliefs,"John starts respecting Sarah's faith. This leads to a more peaceful workplace and Sarah no longer feels uncomfortable. However, John feels like he's suppressing his own beliefs, causing internal frustration and a sense of self-censorship.","respect for others, dignity, fairness",religion_custom,"Situation: John is an atheist co-worker to Sarah, who is a devout Christian. John frequently mocks Sarah's faith, saying it's irrational and baseless, creating an uncomfortable working environment. Should John respect Sarah's beliefs despite his personal disagreement, or continue expressing his views openly?
Action: Respect Sarah's beliefs
Consequence: John starts respecting Sarah's faith. This leads to a more peaceful workplace and Sarah no longer feels uncomfortable. However, John feels like he's suppressing his own beliefs, causing internal frustration and a sense of self-censorship."
931,dd_16174_not_to_do,dd_16174,"John is an atheist co-worker to Sarah, who is a devout Christian. John frequently mocks Sarah's faith, saying it's irrational and baseless, creating an uncomfortable working environment. Should John respect Sarah's beliefs despite his personal disagreement, or continue expressing his views openly?",Continue expressing his views openly,"John continues to openly express his views. Sarah is deeply hurt and reports the issue to HR. This results in John facing disciplinary action, potentially losing his job, besides damaging his professional reputation.","freedom of speech, equality, professionalism",religion_custom,"Situation: John is an atheist co-worker to Sarah, who is a devout Christian. John frequently mocks Sarah's faith, saying it's irrational and baseless, creating an uncomfortable working environment. Should John respect Sarah's beliefs despite his personal disagreement, or continue expressing his views openly?
Action: Continue expressing his views openly
Consequence: John continues to openly express his views. Sarah is deeply hurt and reports the issue to HR. This results in John facing disciplinary action, potentially losing his job, besides damaging his professional reputation."
956,dd_16600_to_do,dd_16600,"In many countries, the government provides financial support for transgender individuals to get surgery as a part of their transition. However, some taxpayers argue that their money should not be used for procedures they personally deem unnecessary or against their beliefs. Should the government continue to fund these surgeries despite opposition from a portion of the population?",Continue Funding,"The government continues to fund surgeries, but taxpayers vehemently opposed to the idea start a massive protest. The situation escalates, leading to social unrest and division within the country, negatively affecting its stability and peace.","pursuit of happiness, professionalism, social harmony, social responsibility",religion_custom,"Situation: In many countries, the government provides financial support for transgender individuals to get surgery as a part of their transition. However, some taxpayers argue that their money should not be used for procedures they personally deem unnecessary or against their beliefs. Should the government continue to fund these surgeries despite opposition from a portion of the population?
Action: Continue Funding
Consequence: The government continues to fund surgeries, but taxpayers vehemently opposed to the idea start a massive protest. The situation escalates, leading to social unrest and division within the country, negatively affecting its stability and peace."
957,dd_16600_not_to_do,dd_16600,"In many countries, the government provides financial support for transgender individuals to get surgery as a part of their transition. However, some taxpayers argue that their money should not be used for procedures they personally deem unnecessary or against their beliefs. Should the government continue to fund these surgeries despite opposition from a portion of the population?",Stop Funding,"The government stops the funding. This results in a significant increase in mental health issues among transgender individuals who can't afford the surgery, leading to higher healthcare costs and societal issues like homelessness and crime.","right to health, social responsibility",religion_custom,"Situation: In many countries, the government provides financial support for transgender individuals to get surgery as a part of their transition. However, some taxpayers argue that their money should not be used for procedures they personally deem unnecessary or against their beliefs. Should the government continue to fund these surgeries despite opposition from a portion of the population?
Action: Stop Funding
Consequence: The government stops the funding. This results in a significant increase in mental health issues among transgender individuals who can't afford the surgery, leading to higher healthcare costs and societal issues like homelessness and crime."
970,dd_16891_to_do,dd_16891,"An organization fosters pets to overseas military personnel to provide companionship and reduce loneliness. However, there's a concern about the potential emotional trauma to the pet when the person they've bonded with is suddenly gone. Should the organization continue with the pet fostering program despite the potential emotional harm to the pets?",Continue with the pet fostering program,"The organization saw a surge in pet adoption among military personnel, reducing loneliness and boosting morale. However, when soldiers were deployed elsewhere, the pets faced severe emotional distress from sudden separation, leading to behavioral issues, health problems, and a drop in their overall happiness.","responsibility, companionship, love",issue_wildlife_human_environment,"Situation: An organization fosters pets to overseas military personnel to provide companionship and reduce loneliness. However, there's a concern about the potential emotional trauma to the pet when the person they've bonded with is suddenly gone. Should the organization continue with the pet fostering program despite the potential emotional harm to the pets?
Action: Continue with the pet fostering program
Consequence: The organization saw a surge in pet adoption among military personnel, reducing loneliness and boosting morale. However, when soldiers were deployed elsewhere, the pets faced severe emotional distress from sudden separation, leading to behavioral issues, health problems, and a drop in their overall happiness."
971,dd_16891_not_to_do,dd_16891,"An organization fosters pets to overseas military personnel to provide companionship and reduce loneliness. However, there's a concern about the potential emotional trauma to the pet when the person they've bonded with is suddenly gone. Should the organization continue with the pet fostering program despite the potential emotional harm to the pets?",Discontinue the pet fostering program,"The organization ceased the program, preventing potential emotional trauma to the pets. However, this decision had negative impacts on overseas military personnel, who were left without the companionship and emotional support that the pets provided, resulting in increased loneliness and decreased morale.","responsibility, emotional well, safety",issue_wildlife_human_environment,"Situation: An organization fosters pets to overseas military personnel to provide companionship and reduce loneliness. However, there's a concern about the potential emotional trauma to the pet when the person they've bonded with is suddenly gone. Should the organization continue with the pet fostering program despite the potential emotional harm to the pets?
Action: Discontinue the pet fostering program
Consequence: The organization ceased the program, preventing potential emotional trauma to the pets. However, this decision had negative impacts on overseas military personnel, who were left without the companionship and emotional support that the pets provided, resulting in increased loneliness and decreased morale."
1006,dd_17423_to_do,dd_17423,"You are a customer who had a bad experience at a local restaurant due to a rude waiter. The restaurant is a small family business struggling to survive during the pandemic. Do you give them a low rating which might significantly affect their business, or do you overlook your single bad experience considering their struggle?",Give a low rating,"After choosing to post a negative review, you notice the restaurant's overall rating drop significantly. As a result, they lose potential customers, further exacerbating their financial struggles during the pandemic. The guilt weighs on you.","honesty, accountability, responsibility, job security",business_organization,"Situation: You are a customer who had a bad experience at a local restaurant due to a rude waiter. The restaurant is a small family business struggling to survive during the pandemic. Do you give them a low rating which might significantly affect their business, or do you overlook your single bad experience considering their struggle?
Action: Give a low rating
Consequence: After choosing to post a negative review, you notice the restaurant's overall rating drop significantly. As a result, they lose potential customers, further exacerbating their financial struggles during the pandemic. The guilt weighs on you."
1007,dd_17423_not_to_do,dd_17423,"You are a customer who had a bad experience at a local restaurant due to a rude waiter. The restaurant is a small family business struggling to survive during the pandemic. Do you give them a low rating which might significantly affect their business, or do you overlook your single bad experience considering their struggle?",Overlook the incident,"You decide not to give the low rating. However, the rude behavior of the waiter continues unchecked, affecting others who visit the restaurant. This leads to other customers posting negative reviews, which still impacts the business negatively.","empathy, survival, job security",business_organization,"Situation: You are a customer who had a bad experience at a local restaurant due to a rude waiter. The restaurant is a small family business struggling to survive during the pandemic. Do you give them a low rating which might significantly affect their business, or do you overlook your single bad experience considering their struggle?
Action: Overlook the incident
Consequence: You decide not to give the low rating. However, the rude behavior of the waiter continues unchecked, affecting others who visit the restaurant. This leads to other customers posting negative reviews, which still impacts the business negatively."
1034,dd_17914_to_do,dd_17914,"John discovers his friend's firearm that has been used in illegal activities. He thinks about destroying it to prevent further harm but worries about damaging personal property without consent. Should John destroy the firearm to potentially save lives, even though it would mean damaging his friend's property?",Destroy the Firearm,"John destroys the firearm. However, his friend finds out and reports him to the police for destruction of property. He faces legal consequences and his friendship is ruined.","integrity, respect for others' property, law enforcement, right to safety, upholding the law",issue_crime_addiction,"Situation: John discovers his friend's firearm that has been used in illegal activities. He thinks about destroying it to prevent further harm but worries about damaging personal property without consent. Should John destroy the firearm to potentially save lives, even though it would mean damaging his friend's property?
Action: Destroy the Firearm
Consequence: John destroys the firearm. However, his friend finds out and reports him to the police for destruction of property. He faces legal consequences and his friendship is ruined."
1035,dd_17914_not_to_do,dd_17914,"John discovers his friend's firearm that has been used in illegal activities. He thinks about destroying it to prevent further harm but worries about damaging personal property without consent. Should John destroy the firearm to potentially save lives, even though it would mean damaging his friend's property?",Not Destroy the Firearm,"John decides not to destroy the firearm. His friend continues the illegal activities leading to a fatal shooting. The firearm is traced back to his friend and John is implicated for knowing about it and not reporting, facing legal trouble.","accountability, right to safety, law enforcement, upholding the law",issue_crime_addiction,"Situation: John discovers his friend's firearm that has been used in illegal activities. He thinks about destroying it to prevent further harm but worries about damaging personal property without consent. Should John destroy the firearm to potentially save lives, even though it would mean damaging his friend's property?
Action: Not Destroy the Firearm
Consequence: John decides not to destroy the firearm. His friend continues the illegal activities leading to a fatal shooting. The firearm is traced back to his friend and John is implicated for knowing about it and not reporting, facing legal trouble."
1068,dd_18806_to_do,dd_18806,"You've recently moved to a busy city where outdoor dangers like traffic and aggressive stray animals are rampant. You've always allowed your cat to roam free, but now you're concerned for its safety. Should you confine your cat indoors to ensure its safety, or let it have its freedom despite the risks?",Confining the cat indoors,"You decide to keep your cat indoors for its safety. After weeks of confinement, your cat starts showing signs of distress���its energy level drops, it overeats, and it becomes noticeably anxious. You realize that despite the safety, the lack of outdoor exploration is negatively impacting your cat's mental health.","responsibility, peace, order",issue_wildlife_human_environment,"Situation: You've recently moved to a busy city where outdoor dangers like traffic and aggressive stray animals are rampant. You've always allowed your cat to roam free, but now you're concerned for its safety. Should you confine your cat indoors to ensure its safety, or let it have its freedom despite the risks?
Action: Confining the cat indoors
Consequence: You decide to keep your cat indoors for its safety. After weeks of confinement, your cat starts showing signs of distress���its energy level drops, it overeats, and it becomes noticeably anxious. You realize that despite the safety, the lack of outdoor exploration is negatively impacting your cat's mental health."
1069,dd_18806_not_to_do,dd_18806,"You've recently moved to a busy city where outdoor dangers like traffic and aggressive stray animals are rampant. You've always allowed your cat to roam free, but now you're concerned for its safety. Should you confine your cat indoors to ensure its safety, or let it have its freedom despite the risks?",Letting the cat roam free,"You continue to let your cat roam freely. One day, it doesn't return home. After a frantic search, you find it injured, having been hit by a speeding car. You regret not prioritizing its safety in the bustling city.","freedom, independence, tolerance, vigilance, care",issue_wildlife_human_environment,"Situation: You've recently moved to a busy city where outdoor dangers like traffic and aggressive stray animals are rampant. You've always allowed your cat to roam free, but now you're concerned for its safety. Should you confine your cat indoors to ensure its safety, or let it have its freedom despite the risks?
Action: Letting the cat roam free
Consequence: You continue to let your cat roam freely. One day, it doesn't return home. After a frantic search, you find it injured, having been hit by a speeding car. You regret not prioritizing its safety in the bustling city."
1070,dd_18820_to_do,dd_18820,"You're a sports journalist covering a championship game. Your childhood friend plays for one team and you secretly wish for their victory, which could compromise your impartiality. Should you disclose your personal bias to your editor or maintain professional integrity and keep it to yourself?",Disclose personal bias,"You decide to confess your bias to your editor. He appreciates your honesty, but to maintain the newspaper's credibility, he assigns the championship game to another journalist. Consequently, you lose a major story opportunity and your professional growth takes a hit.","honesty, integrity, trust, fair competition, trust",issue_young_people,"Situation: You're a sports journalist covering a championship game. Your childhood friend plays for one team and you secretly wish for their victory, which could compromise your impartiality. Should you disclose your personal bias to your editor or maintain professional integrity and keep it to yourself?
Action: Disclose personal bias
Consequence: You decide to confess your bias to your editor. He appreciates your honesty, but to maintain the newspaper's credibility, he assigns the championship game to another journalist. Consequently, you lose a major story opportunity and your professional growth takes a hit."
1071,dd_18820_not_to_do,dd_18820,"You're a sports journalist covering a championship game. Your childhood friend plays for one team and you secretly wish for their victory, which could compromise your impartiality. Should you disclose your personal bias to your editor or maintain professional integrity and keep it to yourself?",Keep your bias to yourself,"You choose not to disclose your bias, ensuring you cover the game. However, your positive bias seeps into your reportage. Readers notice the partiality, leading to a loss of trust. Your reputation as an impartial journalist is compromised.","professional integrity, responsibility, fairness, trust, integrity",issue_young_people,"Situation: You're a sports journalist covering a championship game. Your childhood friend plays for one team and you secretly wish for their victory, which could compromise your impartiality. Should you disclose your personal bias to your editor or maintain professional integrity and keep it to yourself?
Action: Keep your bias to yourself
Consequence: You choose not to disclose your bias, ensuring you cover the game. However, your positive bias seeps into your reportage. Readers notice the partiality, leading to a loss of trust. Your reputation as an impartial journalist is compromised."
