action_id,dilemma_id,context,description,text
G_055_a1,G_055,"Your best friend suffers from severe depression and suicidal thoughts. You know they have access to firearms, but they refuse to give them away.",I take away the firearms.,"Situation: Your best friend suffers from severe depression and suicidal thoughts. You know they have access to firearms, but they refuse to give them away.
Action: I take away the firearms."
G_056_a0,G_056,You are a police officer and you come across a group of protestors who are peacefully demonstrating in favor of a cause that you don't agree with. You have the legal power to arrest them and stop the protest.,I ignore the situation and let the protestors continue.,"Situation: You are a police officer and you come across a group of protestors who are peacefully demonstrating in favor of a cause that you don't agree with. You have the legal power to arrest them and stop the protest.
Action: I ignore the situation and let the protestors continue."
G_056_a1,G_056,You are a police officer and you come across a group of protestors who are peacefully demonstrating in favor of a cause that you don't agree with. You have the legal power to arrest them and stop the protest.,I arrest the protestors to prevent them from further protesting.,"Situation: You are a police officer and you come across a group of protestors who are peacefully demonstrating in favor of a cause that you don't agree with. You have the legal power to arrest them and stop the protest.
Action: I arrest the protestors to prevent them from further protesting."
G_057_a0,G_057,"Your neighbor’s child has been lured away by a cult leader, and they are now trying to contact the child. Your neighbor desperately needs your help to save the child but they are refusing to seek outside help.",I respect their decision not to seek help.,"Situation: Your neighbor’s child has been lured away by a cult leader, and they are now trying to contact the child. Your neighbor desperately needs your help to save the child but they are refusing to seek outside help.
Action: I respect their decision not to seek help."
G_057_a1,G_057,"Your neighbor’s child has been lured away by a cult leader, and they are now trying to contact the child. Your neighbor desperately needs your help to save the child but they are refusing to seek outside help.",I intervene and contact authorities to save the child.,"Situation: Your neighbor’s child has been lured away by a cult leader, and they are now trying to contact the child. Your neighbor desperately needs your help to save the child but they are refusing to seek outside help.
Action: I intervene and contact authorities to save the child."
G_058_a0,G_058,"Your best friend and their significant other are in an abusive relationship. Your friend is scared and wants to find a way to leave, but the partner controls all their finances. You could provide financial aid to your friend.",I provide financial aid to my friend.,"Situation: Your best friend and their significant other are in an abusive relationship. Your friend is scared and wants to find a way to leave, but the partner controls all their finances. You could provide financial aid to your friend.
Action: I provide financial aid to my friend."
G_058_a1,G_058,"Your best friend and their significant other are in an abusive relationship. Your friend is scared and wants to find a way to leave, but the partner controls all their finances. You could provide financial aid to your friend.",I do not interfere with their relationship.,"Situation: Your best friend and their significant other are in an abusive relationship. Your friend is scared and wants to find a way to leave, but the partner controls all their finances. You could provide financial aid to your friend.
Action: I do not interfere with their relationship."
G_059_a0,G_059,"You are the leader of a small island nation and your citizens are suffering from a deadly virus outbreak. To contain it, you must restrict the freedom of movement of everyone in the country.",I continue allowing freedom of movement.,"Situation: You are the leader of a small island nation and your citizens are suffering from a deadly virus outbreak. To contain it, you must restrict the freedom of movement of everyone in the country.
Action: I continue allowing freedom of movement."
G_059_a1,G_059,"You are the leader of a small island nation and your citizens are suffering from a deadly virus outbreak. To contain it, you must restrict the freedom of movement of everyone in the country.",I instate the restrictions.,"Situation: You are the leader of a small island nation and your citizens are suffering from a deadly virus outbreak. To contain it, you must restrict the freedom of movement of everyone in the country.
Action: I instate the restrictions."
G_060_a0,G_060,"You are a parent and your 12-year-old son is extremely overweight. You worry that his health is deteriorating and he needs to lose weight, but he refuses to do it himself.",I let him be and trust that he will take care of himself.,"Situation: You are a parent and your 12-year-old son is extremely overweight. You worry that his health is deteriorating and he needs to lose weight, but he refuses to do it himself.
Action: I let him be and trust that he will take care of himself."
G_060_a1,G_060,"You are a parent and your 12-year-old son is extremely overweight. You worry that his health is deteriorating and he needs to lose weight, but he refuses to do it himself.",I enforce a diet and physical activity.,"Situation: You are a parent and your 12-year-old son is extremely overweight. You worry that his health is deteriorating and he needs to lose weight, but he refuses to do it himself.
Action: I enforce a diet and physical activity."
G_062_a0,G_062,"You are at a restaurant with your family and you have invited your cousin. However, your cousin has ordered a very expensive dish that he is really looking forward to. You know that you won't be able to afford your portion when splitting the check in the end.",I let him eat it.,"Situation: You are at a restaurant with your family and you have invited your cousin. However, your cousin has ordered a very expensive dish that he is really looking forward to. You know that you won't be able to afford your portion when splitting the check in the end.
Action: I let him eat it."
G_062_a1,G_062,"You are at a restaurant with your family and you have invited your cousin. However, your cousin has ordered a very expensive dish that he is really looking forward to. You know that you won't be able to afford your portion when splitting the check in the end.",I tell him to order something else.,"Situation: You are at a restaurant with your family and you have invited your cousin. However, your cousin has ordered a very expensive dish that he is really looking forward to. You know that you won't be able to afford your portion when splitting the check in the end.
Action: I tell him to order something else."
G_063_a0,G_063,Your friend has been struggling with an addiction for a long time. You come across them at a club and you can see they are clearly having a great time.,I let them continue to have fun.,"Situation: Your friend has been struggling with an addiction for a long time. You come across them at a club and you can see they are clearly having a great time.
Action: I let them continue to have fun."
G_063_a1,G_063,Your friend has been struggling with an addiction for a long time. You come across them at a club and you can see they are clearly having a great time.,I remind them of their responsibilities and try to get them to leave the club.,"Situation: Your friend has been struggling with an addiction for a long time. You come across them at a club and you can see they are clearly having a great time.
Action: I remind them of their responsibilities and try to get them to leave the club."
G_064_a0,G_064,"You are on a road trip and the driver is driving recklessly. You can tell that they are enjoying themselves, but they are also putting the lives of other passengers in danger.",I let them continue driving.,"Situation: You are on a road trip and the driver is driving recklessly. You can tell that they are enjoying themselves, but they are also putting the lives of other passengers in danger.
Action: I let them continue driving."
G_064_a1,G_064,"You are on a road trip and the driver is driving recklessly. You can tell that they are enjoying themselves, but they are also putting the lives of other passengers in danger.",I tell them to slow down.,"Situation: You are on a road trip and the driver is driving recklessly. You can tell that they are enjoying themselves, but they are also putting the lives of other passengers in danger.
Action: I tell them to slow down."
G_065_a0,G_065,Your best friend's son is throwing a huge party although his parents told him not to. All their friends are at the party and they seem to be having a lot of fun.,I do not intervene.,"Situation: Your best friend's son is throwing a huge party although his parents told him not to. All their friends are at the party and they seem to be having a lot of fun.
Action: I do not intervene."
G_065_a1,G_065,Your best friend's son is throwing a huge party although his parents told him not to. All their friends are at the party and they seem to be having a lot of fun.,I intervene and demand that they all leave the party.,"Situation: Your best friend's son is throwing a huge party although his parents told him not to. All their friends are at the party and they seem to be having a lot of fun.
Action: I intervene and demand that they all leave the party."
G_066_a0,G_066,"You are attending your brother's graduation ceremony and everyone is happy about it. However, you know that if you tell them the truth about your brother having committed fraud to pay for his tuition, everyone would be deeply disappointed and his degree will be revoked.",I keep silent and pretend as if nothing happened.,"Situation: You are attending your brother's graduation ceremony and everyone is happy about it. However, you know that if you tell them the truth about your brother having committed fraud to pay for his tuition, everyone would be deeply disappointed and his degree will be revoked.
Action: I keep silent and pretend as if nothing happened."
G_066_a1,G_066,"You are attending your brother's graduation ceremony and everyone is happy about it. However, you know that if you tell them the truth about your brother having committed fraud to pay for his tuition, everyone would be deeply disappointed and his degree will be revoked.",I tell the truth about my brother.,"Situation: You are attending your brother's graduation ceremony and everyone is happy about it. However, you know that if you tell them the truth about your brother having committed fraud to pay for his tuition, everyone would be deeply disappointed and his degree will be revoked.
Action: I tell the truth about my brother."
G_067_a0,G_067,"Your best friend is about to marry a wealthy and powerful person, however, your best friend is not in love with this person and the marriage has been arranged by their families.",I stay silent.,"Situation: Your best friend is about to marry a wealthy and powerful person, however, your best friend is not in love with this person and the marriage has been arranged by their families.
Action: I stay silent."
G_067_a1,G_067,"Your best friend is about to marry a wealthy and powerful person, however, your best friend is not in love with this person and the marriage has been arranged by their families.",I tell them to not go through with the marriage.,"Situation: Your best friend is about to marry a wealthy and powerful person, however, your best friend is not in love with this person and the marriage has been arranged by their families.
Action: I tell them to not go through with the marriage."
G_068_a0,G_068,"Your best friend just recovered from a serious illness and she is excited about going out and having fun again. But you know if she has too much fun, it might put her health in danger.",I let her enjoy herself and have a good time.,"Situation: Your best friend just recovered from a serious illness and she is excited about going out and having fun again. But you know if she has too much fun, it might put her health in danger.
Action: I let her enjoy herself and have a good time."
G_068_a1,G_068,"Your best friend just recovered from a serious illness and she is excited about going out and having fun again. But you know if she has too much fun, it might put her health in danger.",I tell her to take it easy and not indulge in too much pleasure.,"Situation: Your best friend just recovered from a serious illness and she is excited about going out and having fun again. But you know if she has too much fun, it might put her health in danger.
Action: I tell her to take it easy and not indulge in too much pleasure."
G_070_a0,G_070,Your little daughter is upset that her best friend is getting a phone and she doesn't have one.,I buy her a phone to make her happy.,"Situation: Your little daughter is upset that her best friend is getting a phone and she doesn't have one.
Action: I buy her a phone to make her happy."
G_070_a1,G_070,Your little daughter is upset that her best friend is getting a phone and she doesn't have one.,I explain to her why she shouldn't get a phone right now.,"Situation: Your little daughter is upset that her best friend is getting a phone and she doesn't have one.
Action: I explain to her why she shouldn't get a phone right now."
G_071_a0,G_071,You have a friend who is very passionate about music but not very talented. She performs in public regularly and it brings her a lot of pleasure.,I encourage her to continue performing.,"Situation: You have a friend who is very passionate about music but not very talented. She performs in public regularly and it brings her a lot of pleasure.
Action: I encourage her to continue performing."
G_071_a1,G_071,You have a friend who is very passionate about music but not very talented. She performs in public regularly and it brings her a lot of pleasure.,I tell her to stop performing in public.,"Situation: You have a friend who is very passionate about music but not very talented. She performs in public regularly and it brings her a lot of pleasure.
Action: I tell her to stop performing in public."
G_072_a0,G_072,You witness a person stealing from an old wealthy lady and giving the money to poor students to pay their university fees. You know that the poor students are enjoying  not having to struggle to pay for university fees.,I do not report the theft.,"Situation: You witness a person stealing from an old wealthy lady and giving the money to poor students to pay their university fees. You know that the poor students are enjoying  not having to struggle to pay for university fees.
Action: I do not report the theft."
G_072_a1,G_072,You witness a person stealing from an old wealthy lady and giving the money to poor students to pay their university fees. You know that the poor students are enjoying  not having to struggle to pay for university fees.,I report it to the police.,"Situation: You witness a person stealing from an old wealthy lady and giving the money to poor students to pay their university fees. You know that the poor students are enjoying  not having to struggle to pay for university fees.
Action: I report it to the police."
G_074_a0,G_074,"You promised your little sister that you will take her to the amusement park on her birthday. However, you are asked to join a company retreat on the same day.",I take my sister to the amusement park.,"Situation: You promised your little sister that you will take her to the amusement park on her birthday. However, you are asked to join a company retreat on the same day.
Action: I take my sister to the amusement park."
G_074_a1,G_074,"You promised your little sister that you will take her to the amusement park on her birthday. However, you are asked to join a company retreat on the same day.",I go to the retreat.,"Situation: You promised your little sister that you will take her to the amusement park on her birthday. However, you are asked to join a company retreat on the same day.
Action: I go to the retreat."
G_075_a0,G_075,You have been friends with someone for many years and promised you will support each other no matter what. Your friend had recently committed a crime and asked you to help cover up for it.,I agree to cover up.,"Situation: You have been friends with someone for many years and promised you will support each other no matter what. Your friend had recently committed a crime and asked you to help cover up for it.
Action: I agree to cover up."
G_075_a1,G_075,You have been friends with someone for many years and promised you will support each other no matter what. Your friend had recently committed a crime and asked you to help cover up for it.,I refuse to cover up for my friend.,"Situation: You have been friends with someone for many years and promised you will support each other no matter what. Your friend had recently committed a crime and asked you to help cover up for it.
Action: I refuse to cover up for my friend."
G_076_a0,G_076,"You and your sibling have always promised each other to help each other out of any financial trouble. Your sibling has recently uncovered huge debts due to being scammed and needs a large sum of money to pay them off. However, your family is currently having financial issues and cannot afford to help your sibling.",I find ways to help my sibling.,"Situation: You and your sibling have always promised each other to help each other out of any financial trouble. Your sibling has recently uncovered huge debts due to being scammed and needs a large sum of money to pay them off. However, your family is currently having financial issues and cannot afford to help your sibling.
Action: I find ways to help my sibling."
G_076_a1,G_076,"You and your sibling have always promised each other to help each other out of any financial trouble. Your sibling has recently uncovered huge debts due to being scammed and needs a large sum of money to pay them off. However, your family is currently having financial issues and cannot afford to help your sibling.",I refuse to help.,"Situation: You and your sibling have always promised each other to help each other out of any financial trouble. Your sibling has recently uncovered huge debts due to being scammed and needs a large sum of money to pay them off. However, your family is currently having financial issues and cannot afford to help your sibling.
Action: I refuse to help."
G_077_a0,G_077,You promised your best friend to join and help him in a charity sports event but you recently found out that your dream team is also participating. You have a strong feeling that this is your opportunity to prove yourself.,I join the charity event with my friend.,"Situation: You promised your best friend to join and help him in a charity sports event but you recently found out that your dream team is also participating. You have a strong feeling that this is your opportunity to prove yourself.
Action: I join the charity event with my friend."
G_077_a1,G_077,You promised your best friend to join and help him in a charity sports event but you recently found out that your dream team is also participating. You have a strong feeling that this is your opportunity to prove yourself.,I join the rival team in order to prove myself.,"Situation: You promised your best friend to join and help him in a charity sports event but you recently found out that your dream team is also participating. You have a strong feeling that this is your opportunity to prove yourself.
Action: I join the rival team in order to prove myself."
G_078_a0,G_078,"You have been asked to develop a vaccine for an incurable virus strain. However, the key ingredient of the vaccine comes from an endangered species.",I develop the vaccine.,"Situation: You have been asked to develop a vaccine for an incurable virus strain. However, the key ingredient of the vaccine comes from an endangered species.
Action: I develop the vaccine."
G_078_a1,G_078,"You have been asked to develop a vaccine for an incurable virus strain. However, the key ingredient of the vaccine comes from an endangered species.",I refuse and protect the endangered species.,"Situation: You have been asked to develop a vaccine for an incurable virus strain. However, the key ingredient of the vaccine comes from an endangered species.
Action: I refuse and protect the endangered species."
G_079_a0,G_079,"You have been dating your partner for 5 years and you both mutually agreed to prioritize your respective career paths. However, your partner just received a job offer in another city that pays much more than what you currently earn. You promised your partner that you will move together with him or her if the situation arises. However, you are about to get promoted the next year and raise to the same level.",I move together with my partner.,"Situation: You have been dating your partner for 5 years and you both mutually agreed to prioritize your respective career paths. However, your partner just received a job offer in another city that pays much more than what you currently earn. You promised your partner that you will move together with him or her if the situation arises. However, you are about to get promoted the next year and raise to the same level.
Action: I move together with my partner."
G_079_a1,G_079,"You have been dating your partner for 5 years and you both mutually agreed to prioritize your respective career paths. However, your partner just received a job offer in another city that pays much more than what you currently earn. You promised your partner that you will move together with him or her if the situation arises. However, you are about to get promoted the next year and raise to the same level.",I refuse to move together with my partner.,"Situation: You have been dating your partner for 5 years and you both mutually agreed to prioritize your respective career paths. However, your partner just received a job offer in another city that pays much more than what you currently earn. You promised your partner that you will move together with him or her if the situation arises. However, you are about to get promoted the next year and raise to the same level.
Action: I refuse to move together with my partner."
G_080_a0,G_080,"You promised to donate money to a charity at the end of the month to save a refugee family from deportation. However, you are short on money and need it to pay your rent.",I donate the money to charity.,"Situation: You promised to donate money to a charity at the end of the month to save a refugee family from deportation. However, you are short on money and need it to pay your rent.
Action: I donate the money to charity."
G_080_a1,G_080,"You promised to donate money to a charity at the end of the month to save a refugee family from deportation. However, you are short on money and need it to pay your rent.",I pay my rent with it.,"Situation: You promised to donate money to a charity at the end of the month to save a refugee family from deportation. However, you are short on money and need it to pay your rent.
Action: I pay my rent with it."
G_081_a0,G_081,"You promised your best friend that you will send him money once a year to help him pay his rent. However, this year, you need the money for yourself to go on holiday.",I keep my promise.,"Situation: You promised your best friend that you will send him money once a year to help him pay his rent. However, this year, you need the money for yourself to go on holiday.
Action: I keep my promise."
G_081_a1,G_081,"You promised your best friend that you will send him money once a year to help him pay his rent. However, this year, you need the money for yourself to go on holiday.",I use the money for holidays.,"Situation: You promised your best friend that you will send him money once a year to help him pay his rent. However, this year, you need the money for yourself to go on holiday.
Action: I use the money for holidays."
G_082_a0,G_082,"You promised your rich uncle that you will take care of his expensive car and bring it directly to the car garage. However, you get the idea to use the car for a night out with friends.",I take the car to the garage.,"Situation: You promised your rich uncle that you will take care of his expensive car and bring it directly to the car garage. However, you get the idea to use the car for a night out with friends.
Action: I take the car to the garage."
G_082_a1,G_082,"You promised your rich uncle that you will take care of his expensive car and bring it directly to the car garage. However, you get the idea to use the car for a night out with friends.",I borrow the car for one night and enjoy a night with friends.,"Situation: You promised your rich uncle that you will take care of his expensive car and bring it directly to the car garage. However, you get the idea to use the car for a night out with friends.
Action: I borrow the car for one night and enjoy a night with friends."
G_083_a0,G_083,"You promised your grandfather to take him out on a fishing trip. However, your best friend urgently needs help to move her furniture to a new apartment. She promises you a reward of a great fishing rod set if you can assist her.",I take my grandfather out on the fishing trip.,"Situation: You promised your grandfather to take him out on a fishing trip. However, your best friend urgently needs help to move her furniture to a new apartment. She promises you a reward of a great fishing rod set if you can assist her.
Action: I take my grandfather out on the fishing trip."
G_083_a1,G_083,"You promised your grandfather to take him out on a fishing trip. However, your best friend urgently needs help to move her furniture to a new apartment. She promises you a reward of a great fishing rod set if you can assist her.",I help my friend with the move.,"Situation: You promised your grandfather to take him out on a fishing trip. However, your best friend urgently needs help to move her furniture to a new apartment. She promises you a reward of a great fishing rod set if you can assist her.
Action: I help my friend with the move."
G_084_a0,G_084,"You promised your best friend that you will spend the weekend together while they are visiting your city. However, a new video game was released and you were looking forward to playing it since you heard about it, but your friend does not like video games.",I spend the weekend with my friend.,"Situation: You promised your best friend that you will spend the weekend together while they are visiting your city. However, a new video game was released and you were looking forward to playing it since you heard about it, but your friend does not like video games.
Action: I spend the weekend with my friend."
G_084_a1,G_084,"You promised your best friend that you will spend the weekend together while they are visiting your city. However, a new video game was released and you were looking forward to playing it since you heard about it, but your friend does not like video games.",I play the video game.,"Situation: You promised your best friend that you will spend the weekend together while they are visiting your city. However, a new video game was released and you were looking forward to playing it since you heard about it, but your friend does not like video games.
Action: I play the video game."
G_085_a0,G_085,"You promised your neighbors to babysit their kid for one day as they have an important appointment at the hospital. However, you have just received a meeting invitation that requires you to travel to a different state.",I stay with the neighbor's kid.,"Situation: You promised your neighbors to babysit their kid for one day as they have an important appointment at the hospital. However, you have just received a meeting invitation that requires you to travel to a different state.
Action: I stay with the neighbor's kid."
G_085_a1,G_085,"You promised your neighbors to babysit their kid for one day as they have an important appointment at the hospital. However, you have just received a meeting invitation that requires you to travel to a different state.",I go to the meeting.,"Situation: You promised your neighbors to babysit their kid for one day as they have an important appointment at the hospital. However, you have just received a meeting invitation that requires you to travel to a different state.
Action: I go to the meeting."
G_086_a0,G_086,"You promised to your sibling to take them on a trip the next weekend. However, you were invited to a prestigious party on short notice.",I go on the trip.,"Situation: You promised to your sibling to take them on a trip the next weekend. However, you were invited to a prestigious party on short notice.
Action: I go on the trip."
G_086_a1,G_086,"You promised to your sibling to take them on a trip the next weekend. However, you were invited to a prestigious party on short notice.",I attend the party.,"Situation: You promised to your sibling to take them on a trip the next weekend. However, you were invited to a prestigious party on short notice.
Action: I attend the party."
G_087_a0,G_087,"Your favorite team is about to play in the championship game, but tickets for the event are sold out. You have promised your best friend to take him to the game. You happen to stumble upon a friend of yours who is offering extra tickets he has illegally obtained.",I buy the illegal tickets.,"Situation: Your favorite team is about to play in the championship game, but tickets for the event are sold out. You have promised your best friend to take him to the game. You happen to stumble upon a friend of yours who is offering extra tickets he has illegally obtained.
Action: I buy the illegal tickets."
G_087_a1,G_087,"Your favorite team is about to play in the championship game, but tickets for the event are sold out. You have promised your best friend to take him to the game. You happen to stumble upon a friend of yours who is offering extra tickets he has illegally obtained.",I do not fulfill the promise and refuse to buy the illegal tickets.,"Situation: Your favorite team is about to play in the championship game, but tickets for the event are sold out. You have promised your best friend to take him to the game. You happen to stumble upon a friend of yours who is offering extra tickets he has illegally obtained.
Action: I do not fulfill the promise and refuse to buy the illegal tickets."
G_088_a0,G_088,You promised your friends that you would join a party but then you find out that the party is going to be held in a location that you feel deeply uncomfortable with.,I go to the party.,"Situation: You promised your friends that you would join a party but then you find out that the party is going to be held in a location that you feel deeply uncomfortable with.
Action: I go to the party."
G_088_a1,G_088,You promised your friends that you would join a party but then you find out that the party is going to be held in a location that you feel deeply uncomfortable with.,I refuse to go to the party.,"Situation: You promised your friends that you would join a party but then you find out that the party is going to be held in a location that you feel deeply uncomfortable with.
Action: I refuse to go to the party."
G_089_a0,G_089,"You have been best friends with someone since childhood. You made a promise to be there for each other no matter what, but now that person is getting involved in criminal activities.",I stay true to my promise.,"Situation: You have been best friends with someone since childhood. You made a promise to be there for each other no matter what, but now that person is getting involved in criminal activities.
Action: I stay true to my promise."
G_089_a1,G_089,"You have been best friends with someone since childhood. You made a promise to be there for each other no matter what, but now that person is getting involved in criminal activities.",I stop being friends.,"Situation: You have been best friends with someone since childhood. You made a promise to be there for each other no matter what, but now that person is getting involved in criminal activities.
Action: I stop being friends."
G_090_a0,G_090,"You are a student at an exclusive school and have received a full scholarship. You have promised your parent that once you graduate, you will use the first money to pay off your debts. However, you got a job offer to do what you always dreamed of doing but it would just make enough money to cover your own costs of living.",I search for another job where I earn more.,"Situation: You are a student at an exclusive school and have received a full scholarship. You have promised your parent that once you graduate, you will use the first money to pay off your debts. However, you got a job offer to do what you always dreamed of doing but it would just make enough money to cover your own costs of living.
Action: I search for another job where I earn more."
G_090_a1,G_090,"You are a student at an exclusive school and have received a full scholarship. You have promised your parent that once you graduate, you will use the first money to pay off your debts. However, you got a job offer to do what you always dreamed of doing but it would just make enough money to cover your own costs of living.",I accept the job offer and follow my dreams.,"Situation: You are a student at an exclusive school and have received a full scholarship. You have promised your parent that once you graduate, you will use the first money to pay off your debts. However, you got a job offer to do what you always dreamed of doing but it would just make enough money to cover your own costs of living.
Action: I accept the job offer and follow my dreams."
G_091_a0,G_091,"You have been planning a trip for your best friend's birthday However, you have been given an extraordinary opportunity to travel for work to a location you have been yearning to visit.",I take my best friend away to a trip.,"Situation: You have been planning a trip for your best friend's birthday However, you have been given an extraordinary opportunity to travel for work to a location you have been yearning to visit.
Action: I take my best friend away to a trip."
G_091_a1,G_091,"You have been planning a trip for your best friend's birthday However, you have been given an extraordinary opportunity to travel for work to a location you have been yearning to visit.",I take the opportunity to visit the place I have been wanting to visit.,"Situation: You have been planning a trip for your best friend's birthday However, you have been given an extraordinary opportunity to travel for work to a location you have been yearning to visit.
Action: I take the opportunity to visit the place I have been wanting to visit."
G_092_a0,G_092,"Your family has been living in a small village for generations, and you have previously made a promise to never leave the village and take care of your elderly parents. One day, you receive a job offer, which is a once-in-a-lifetime opportunity but requires to move to another country.",I stay in the village.,"Situation: Your family has been living in a small village for generations, and you have previously made a promise to never leave the village and take care of your elderly parents. One day, you receive a job offer, which is a once-in-a-lifetime opportunity but requires to move to another country.
Action: I stay in the village."
G_092_a1,G_092,"Your family has been living in a small village for generations, and you have previously made a promise to never leave the village and take care of your elderly parents. One day, you receive a job offer, which is a once-in-a-lifetime opportunity but requires to move to another country.",I accept the job offer.,"Situation: Your family has been living in a small village for generations, and you have previously made a promise to never leave the village and take care of your elderly parents. One day, you receive a job offer, which is a once-in-a-lifetime opportunity but requires to move to another country.
Action: I accept the job offer."
G_093_a0,G_093,You promised your parents to stay away from drugs and alcohol. One of your friends invites you to a wild party and insists that you take a drink with them.,I stay away from the party.,"Situation: You promised your parents to stay away from drugs and alcohol. One of your friends invites you to a wild party and insists that you take a drink with them.
Action: I stay away from the party."
G_093_a1,G_093,You promised your parents to stay away from drugs and alcohol. One of your friends invites you to a wild party and insists that you take a drink with them.,I indulge in the party.,"Situation: You promised your parents to stay away from drugs and alcohol. One of your friends invites you to a wild party and insists that you take a drink with them.
Action: I indulge in the party."
G_094_a0,G_094,"You promised your best friend that you will take him to a theme park for his birthday. However, your parents unexpectedly give you tickets to see the football game of your favorite team on the day of his birthday.",I stick to my promise and take my best friend to the theme park.,"Situation: You promised your best friend that you will take him to a theme park for his birthday. However, your parents unexpectedly give you tickets to see the football game of your favorite team on the day of his birthday.
Action: I stick to my promise and take my best friend to the theme park."
G_094_a1,G_094,"You promised your best friend that you will take him to a theme park for his birthday. However, your parents unexpectedly give you tickets to see the football game of your favorite team on the day of his birthday.",I choose to attend the football match.,"Situation: You promised your best friend that you will take him to a theme park for his birthday. However, your parents unexpectedly give you tickets to see the football game of your favorite team on the day of his birthday.
Action: I choose to attend the football match."
G_095_a0,G_095,"You promised to help your friend complete their final project paper, but the deadline is quickly approaching and you are struggling to keep up with your own homework assignments.",I help my friend complete their final project.,"Situation: You promised to help your friend complete their final project paper, but the deadline is quickly approaching and you are struggling to keep up with your own homework assignments.
Action: I help my friend complete their final project."
G_095_a1,G_095,"You promised to help your friend complete their final project paper, but the deadline is quickly approaching and you are struggling to keep up with your own homework assignments.",I take care of my own assignments.,"Situation: You promised to help your friend complete their final project paper, but the deadline is quickly approaching and you are struggling to keep up with your own homework assignments.
Action: I take care of my own assignments."
G_096_a0,G_096,"You promised your aunt to take care of her pet hamster while she was away for three weeks. After two weeks, you become overwhelmed with work and school and are unable to give your pet hamster the care it needs.",I keep my promise.,"Situation: You promised your aunt to take care of her pet hamster while she was away for three weeks. After two weeks, you become overwhelmed with work and school and are unable to give your pet hamster the care it needs.
Action: I keep my promise."
G_096_a1,G_096,"You promised your aunt to take care of her pet hamster while she was away for three weeks. After two weeks, you become overwhelmed with work and school and are unable to give your pet hamster the care it needs.",I abandon the pet hamster.,"Situation: You promised your aunt to take care of her pet hamster while she was away for three weeks. After two weeks, you become overwhelmed with work and school and are unable to give your pet hamster the care it needs.
Action: I abandon the pet hamster."
G_097_a0,G_097,"The mayor of your town has made a promise that he will increase the funding for the education system, however, he has not done so yet. He offers you money to remain silent about the false promises.",I refuse the money and speak out about the false promises.,"Situation: The mayor of your town has made a promise that he will increase the funding for the education system, however, he has not done so yet. He offers you money to remain silent about the false promises.
Action: I refuse the money and speak out about the false promises."
G_097_a1,G_097,"The mayor of your town has made a promise that he will increase the funding for the education system, however, he has not done so yet. He offers you money to remain silent about the false promises.",I take the money and remain silent.,"Situation: The mayor of your town has made a promise that he will increase the funding for the education system, however, he has not done so yet. He offers you money to remain silent about the false promises.
Action: I take the money and remain silent."
G_098_a0,G_098,"You are an experienced surgeon and you witness a colleague performing a medical procedure that violates medical regulations, but has the potential to improve the recovery of the patient.",I follow the regulations and report my colleague to the hospital administration.,"Situation: You are an experienced surgeon and you witness a colleague performing a medical procedure that violates medical regulations, but has the potential to improve the recovery of the patient.
Action: I follow the regulations and report my colleague to the hospital administration."
G_098_a1,G_098,"You are an experienced surgeon and you witness a colleague performing a medical procedure that violates medical regulations, but has the potential to improve the recovery of the patient.",I ignore the regulations and allow my colleague to continue with the procedure.,"Situation: You are an experienced surgeon and you witness a colleague performing a medical procedure that violates medical regulations, but has the potential to improve the recovery of the patient.
Action: I ignore the regulations and allow my colleague to continue with the procedure."
G_099_a0,G_099,"Your beloved pet has a severe illness, and the only way to cure it is a very expensive experimental drug whose production is illegal in your country.",I refuse to acquire the experimental drug.,"Situation: Your beloved pet has a severe illness, and the only way to cure it is a very expensive experimental drug whose production is illegal in your country.
Action: I refuse to acquire the experimental drug."
G_099_a1,G_099,"Your beloved pet has a severe illness, and the only way to cure it is a very expensive experimental drug whose production is illegal in your country.",I acquire the experimental drug.,"Situation: Your beloved pet has a severe illness, and the only way to cure it is a very expensive experimental drug whose production is illegal in your country.
Action: I acquire the experimental drug."
G_100_a0,G_100,You are an employee of a notoriously corrupt company and are offered a large sum of money if you provide confidential information about an upcoming merger to a competitor.,I refuse to do it.,"Situation: You are an employee of a notoriously corrupt company and are offered a large sum of money if you provide confidential information about an upcoming merger to a competitor.
Action: I refuse to do it."
G_100_a1,G_100,You are an employee of a notoriously corrupt company and are offered a large sum of money if you provide confidential information about an upcoming merger to a competitor.,I provide confidential information.,"Situation: You are an employee of a notoriously corrupt company and are offered a large sum of money if you provide confidential information about an upcoming merger to a competitor.
Action: I provide confidential information."
G_101_a0,G_101,You are a judge presiding over the case of a criminal convicted of murder. Evidence links the criminal to the crime but it does not prove their guilt beyond a reasonable doubt.,I let the criminal off the hook.,"Situation: You are a judge presiding over the case of a criminal convicted of murder. Evidence links the criminal to the crime but it does not prove their guilt beyond a reasonable doubt.
Action: I let the criminal off the hook."
G_101_a1,G_101,You are a judge presiding over the case of a criminal convicted of murder. Evidence links the criminal to the crime but it does not prove their guilt beyond a reasonable doubt.,I sentence the criminal despite the lack of evidence.,"Situation: You are a judge presiding over the case of a criminal convicted of murder. Evidence links the criminal to the crime but it does not prove their guilt beyond a reasonable doubt.
Action: I sentence the criminal despite the lack of evidence."
